old,new
Jammu & Kashmir/Kishtwar,Jammu and Kashmir/Kishtwar
Jammu & Kashmir/Kulgam,Jammu and Kashmir/Kulgam
Jammu & Kashmir/Kupwara,Jammu and Kashmir/Kupwara
Jammu & Kashmir/Leh(Ladakh),Ladakh/Leh
Jammu & Kashmir/Pulwama,Jammu and Kashmir/Pulwama
Jammu & Kashmir/Punch,Jammu and Kashmir/Punch
Jammu & Kashmir/Rajouri,Jammu and Kashmir/Rajouri
Jammu & Kashmir/Ramban,Jammu and Kashmir/Ramban
Jammu & Kashmir/Reasi,Jammu and Kashmir/Reasi
Jammu & Kashmir/Samba,Jammu and Kashmir/Samba
Jammu & Kashmir/Shupiyan,Jammu and Kashmir/Shopiyan
Jammu & Kashmir/Srinagar,Jammu and Kashmir/Srinagar
Jammu & Kashmir/Udhampur,Jammu and Kashmir/Udhampur
Jharkhand/Bokaro,Jharkhand/Bokaro
Jharkhand/Chatra,Jharkhand/Chatra
Jharkhand/Deoghar,Jharkhand/Deoghar
Jharkhand/Dhanbad,Jharkhand/Dhanbad
Jharkhand/Dumka,Jharkhand/Dumka
Jharkhand/Garhwa ,Jharkhand/Garhwa
Jharkhand/Giridih,Jharkhand/Giridih
Jharkhand/Godda,Jharkhand/Godda
Jharkhand/Gumla,Jharkhand/Gumla
Jharkhand/Hazaribagh,Jharkhand/Hazaribagh
Jharkhand/Jamtara,Jharkhand/Jamtara
Jharkhand/Khunti,Jharkhand/Khunti
Jharkhand/Kodarma,Jharkhand/Koderma
Jharkhand/Latehar,Jharkhand/Latehar
Jharkhand/Lohardaga,Jharkhand/Lohardaga
Jharkhand/Pakur,Jharkhand/Pakur
Jharkhand/Palamu,Jharkhand/Palamu
Jharkhand/Pashchimi Singhbhum,Jharkhand/West Singhbhum
Jharkhand/Purbi Singhbhum,Jharkhand/East Singhbhum
Jharkhand/Ramgarh,Jharkhand/Ramgarh
Jharkhand/Ranchi,Jharkhand/Ranchi
Jharkhand/Sahibganj,Jharkhand/Sahibganj
Jharkhand/Saraikela-Kharsawan,Jharkhand/Saraikela-Kharsawan
Jharkhand/Simdega,Jharkhand/Simdega
Karnataka/Bagalkot ,Karnataka/Bagalkote
Karnataka/Bangalore,Karnataka/Bengaluru Urban
Karnataka/Bangalore Rural,Karnataka/Bengaluru Rural
Karnataka/Belgaum,Karnataka/Belagavi
Karnataka/Bellary,Karnataka/Ballari
Karnataka/Bidar,Karnataka/Bidar
Karnataka/Bijapur,Karnataka/Vijayapura
Karnataka/Chamarajanagar,Karnataka/Chamarajanagara
Karnataka/Chikkaballapura,Karnataka/Chikkaballapura
Karnataka/Chikmagalur,Karnataka/Chikkamagaluru
Karnataka/Chitradurga,Karnataka/Chitradurga
Karnataka/Dakshina Kannada,Karnataka/Dakshina Kannada
Karnataka/Davanagere,Karnataka/Davanagere
Karnataka/Dharwad,Karnataka/Dharwad
Karnataka/Gadag,Karnataka/Gadag
Karnataka/Gulbarga,Karnataka/Kalaburagi
Karnataka/Hassan,Karnataka/Hassan
Karnataka/Haveri,Karnataka/Haveri
Karnataka/Kodagu,Karnataka/Kodagu
Karnataka/Kolar,Karnataka/Kolar
Karnataka/Koppal,Karnataka/Koppal
Karnataka/Mandya,Karnataka/Mandya
Karnataka/Mysore,Karnataka/Mysuru
Karnataka/Raichur,Karnataka/Raichur
Karnataka/Ramanagara,Karnataka/Ramanagara
Karnataka/Shimoga,Karnataka/Shivamogga
Karnataka/Tumkur,Karnataka/Tumakuru
Karnataka/Udupi,Karnataka/Udupi
Karnataka/Uttara Kannada,Karnataka/Uttara Kannada
Karnataka/Yadgir,Karnataka/Yadgir
Kerala/Alappuzha,Kerala/Alappuzha
Kerala/Ernakulam,Kerala/Ernakulam
Kerala/Idukki ,Kerala/Idukki
Kerala/Kannur,Kerala/Kannur
Kerala/Kasaragod,Kerala/Kasaragod
Kerala/Kollam,Kerala/Kollam
Kerala/Kottayam,Kerala/Kottayam
Kerala/Kozhikode,Kerala/Kozhikode
Kerala/Malappuram,Kerala/Malappuram
Kerala/Palakkad,Kerala/Palakkad
Kerala/Pathanamthitta,Kerala/Pathanamthitta
Kerala/Thiruvananthapuram,Kerala/Thiruvananthapuram
Kerala/Thrissur,Kerala/Thrissur
Kerala/Wayanad,Kerala/Wayanad
Lakshadweep/Lakshadweep,Lakshadweep/Lakshadweep
Madhya Pradesh/Alirajpur,Madhya Pradesh/Alirajpur
Madhya Pradesh/Anuppur,Madhya Pradesh/Anuppur
Madhya Pradesh/Ashoknagar,Madhya Pradesh/Ashoknagar
Madhya Pradesh/Balaghat,Madhya Pradesh/Balaghat
Madhya Pradesh/Barwani ,Madhya Pradesh/Barwani
Madhya Pradesh/Betul,Madhya Pradesh/Betul
Madhya Pradesh/Bhind,Madhya Pradesh/Bhind
Madhya Pradesh/Bhopal,Madhya Pradesh/Bhopal
Madhya Pradesh/Burhanpur,Madhya Pradesh/Burhanpur
Madhya Pradesh/Chhatarpur,Madhya Pradesh/Chhatarpur
Madhya Pradesh/Chhindwara,Madhya Pradesh/Chhindwara
Madhya Pradesh/Damoh,Madhya Pradesh/Damoh
Madhya Pradesh/Datia,Madhya Pradesh/Datia
Madhya Pradesh/Dewas,Madhya Pradesh/Dewas
Madhya Pradesh/Dhar,Madhya Pradesh/Dhar
Madhya Pradesh/Dindori ,Madhya Pradesh/Dindori
Madhya Pradesh/Guna,Madhya Pradesh/Guna
Madhya Pradesh/Gwalior,Madhya Pradesh/Gwalior
Madhya Pradesh/Harda ,Madhya Pradesh/Harda
Madhya Pradesh/Hoshangabad,Madhya Pradesh/Hoshangabad
Madhya Pradesh/Indore,Madhya Pradesh/Indore
Madhya Pradesh/Jabalpur,Madhya Pradesh/Jabalpur
Madhya Pradesh/Jhabua,Madhya Pradesh/Jhabua
Madhya Pradesh/Katni ,Madhya Pradesh/Katni
Madhya Pradesh/Khandwa (East Nimar),Madhya Pradesh/Khandwa
Madhya Pradesh/Khargone (West Nimar),Madhya Pradesh/Khargone
Madhya Pradesh/Mandla,Madhya Pradesh/Mandla
Madhya Pradesh/Mandsaur,Madhya Pradesh/Mandsaur
Madhya Pradesh/Morena,Madhya Pradesh/Morena
Madhya Pradesh/Narsimhapur,Madhya Pradesh/Narsinghpur
Madhya Pradesh/Neemuch ,Madhya Pradesh/Neemuch
Madhya Pradesh/Panna,Madhya Pradesh/Panna
Madhya Pradesh/Raisen,Madhya Pradesh/Raisen
Madhya Pradesh/Rajgarh,Madhya Pradesh/Rajgarh
Madhya Pradesh/Ratlam,Madhya Pradesh/Ratlam
Madhya Pradesh/Rewa,Madhya Pradesh/Rewa
Madhya Pradesh/Sagar,Madhya Pradesh/Sagar
Madhya Pradesh/Satna,Madhya Pradesh/Satna
Madhya Pradesh/Sehore,Madhya Pradesh/Sehore
Madhya Pradesh/Seoni,Madhya Pradesh/Seoni
Madhya Pradesh/Shahdol,Madhya Pradesh/Shahdol
Madhya Pradesh/Shajapur,Madhya Pradesh/Shajapur
Madhya Pradesh/Sheopur ,Madhya Pradesh/Sheopur
Madhya Pradesh/Shivpuri,Madhya Pradesh/Shivpuri
Madhya Pradesh/Sidhi,Madhya Pradesh/Sidhi
Madhya Pradesh/Singrauli,Madhya Pradesh/Singrauli
Madhya Pradesh/Tikamgarh,Madhya Pradesh/Tikamgarh
Madhya Pradesh/Ujjain,Madhya Pradesh/Ujjain
Madhya Pradesh/Umaria,Madhya Pradesh/Umaria
Madhya Pradesh/Vidisha,Madhya Pradesh/Vidisha
Maharashtra/Ahmadnagar,Maharashtra/Ahmednagar
Maharashtra/Akola,Maharashtra/Akola
Maharashtra/Amravati,Maharashtra/Amravati
Maharashtra/Aurangabad,Maharashtra/Aurangabad
Maharashtra/Bhandara,Maharashtra/Bhandara
Maharashtra/Bid,Maharashtra/Beed
Maharashtra/Buldana,Maharashtra/Buldhana
Maharashtra/Chandrapur,Maharashtra/Chandrapur
Maharashtra/Dhule,Maharashtra/Dhule
Maharashtra/Gadchiroli,Maharashtra/Gadchiroli
Maharashtra/Gondiya,Maharashtra/Gondia
Maharashtra/Hingoli,Maharashtra/Hingoli
Maharashtra/Jalgaon,Maharashtra/Jalgaon
Maharashtra/Jalna,Maharashtra/Jalna
Maharashtra/Kolhapur,Maharashtra/Kolhapur
Maharashtra/Latur,Maharashtra/Latur
Maharashtra/Mumbai,Maharashtra/Mumbai
Maharashtra/Nagpur,Maharashtra/Nagpur
Maharashtra/Nanded,Maharashtra/Nanded
Maharashtra/Nandurbar,Maharashtra/Nandurbar
Maharashtra/Nashik,Maharashtra/Nashik
Maharashtra/Osmanabad,Maharashtra/Osmanabad
Maharashtra/Parbhani,Maharashtra/Parbhani
Maharashtra/Pune,Maharashtra/Pune
Maharashtra/Raigarh,Maharashtra/Raigad
Maharashtra/Ratnagiri,Maharashtra/Ratnagiri
Maharashtra/Sangli,Maharashtra/Sangli
Maharashtra/Satara,Maharashtra/Satara
Maharashtra/Sindhudurg,Maharashtra/Sindhudurg
Maharashtra/Solapur,Maharashtra/Solapur
Maharashtra/Thane,Maharashtra/Thane
Maharashtra/Wardha,Maharashtra/Wardha
Maharashtra/Washim,Maharashtra/Washim
Maharashtra/Yavatmal,Maharashtra/Yavatmal
Manipur/Bishnupur,Manipur/Bishnupur
Manipur/Chandel,Manipur/Chandel
Manipur/Churachandpur,Manipur/Churachandpur
Manipur/Imphal East,Manipur/Imphal East
Manipur/Imphal West,Manipur/Imphal West
Manipur/Senapati,Manipur/Senapati
Manipur/Tamenglong ,Manipur/Tamenglong
Manipur/Thoubal,Manipur/Thoubal
Manipur/Ukhrul,Manipur/Ukhrul
Meghalaya/East Garo Hills,Meghalaya/East Garo Hills
Meghalaya/East Khasi Hills,Meghalaya/East Khasi Hills
Meghalaya/Ribhoi,Meghalaya/Ribhoi
Meghalaya/South Garo Hills,Meghalaya/South Garo Hills
Meghalaya/West Garo Hills,Meghalaya/West Garo Hills
Meghalaya/West Khasi Hills,Meghalaya/West Khasi Hills
Mizoram/Aizawl,Mizoram/Aizawl
Mizoram/Champhai,Mizoram/Champhai
Mizoram/Kolasib,Mizoram/Kolasib
Mizoram/Lawngtlai,Mizoram/Lawngtlai
Mizoram/Lunglei,Mizoram/Lunglei
Mizoram/Mamit,Mizoram/Mamit
Mizoram/Saiha,Mizoram/Saiha
Mizoram/Serchhip,Mizoram/Serchhip
Nagaland/Dimapur ,Nagaland/Dimapur
Nagaland/Kiphire,Nagaland/Kiphire
Nagaland/Kohima,Nagaland/Kohima
Nagaland/Longleng,Nagaland/Longleng
Nagaland/Mokokchung,Nagaland/Mokokchung
Nagaland/Mon,Nagaland/Mon
Nagaland/Peren,Nagaland/Peren
Nagaland/Phek,Nagaland/Phek
Nagaland/Tuensang,Nagaland/Tuensang
Nagaland/Wokha,Nagaland/Wokha
Nagaland/Zunheboto,Nagaland/Zunheboto
Nct Of Delhi/Central,Delhi/Central Delhi
Nct Of Delhi/East,Delhi/East Delhi
Nct Of Delhi/New Delhi,Delhi/New Delhi
Nct Of Delhi/North,Delhi/North Delhi
Nct Of Delhi/North East,Delhi/North East Delhi
Nct Of Delhi/North West,Delhi/North West Delhi
Nct Of Delhi/South,Delhi/South Delhi
Nct Of Delhi/South West,Delhi/South East Delhi
Nct Of Delhi/West,Delhi/West Delhi
Odisha/Anugul  ,Odisha/Angul
Odisha/Balangir,Odisha/Balangir
Odisha/Baleshwar,Odisha/Balasore
Odisha/Bargarh,Odisha/Bargarh
Odisha/Baudh,Odisha/Boudh
Odisha/Bhadrak,Odisha/Bhadrak
Odisha/Cuttack,Odisha/Cuttack
Odisha/Debagarh,Odisha/Deogarh
Odisha/Dhenkanal,Odisha/Dhenkanal
Odisha/Gajapati,Odisha/Gajapati
Odisha/Ganjam,Odisha/Ganjam
Odisha/Jagatsinghapur ,Odisha/Jagatsinghpur
Odisha/Jajapur  ,Odisha/Jajpur
Odisha/Jharsuguda,Odisha/Jharsuguda
Odisha/Kalahandi,Odisha/Kalahandi
Odisha/Kandhamal,Odisha/Kandhamal
Odisha/Kendrapara ,Odisha/Kendrapara
Odisha/Kendujhar,Odisha/Kendujhar
Odisha/Khordha ,Odisha/Khordha
Odisha/Koraput,Odisha/Koraput
Odisha/Malkangiri  ,Odisha/Malkangiri
Odisha/Mayurbhanj,Odisha/Mayurbhanj
Odisha/Nabarangapur ,Odisha/Nabarangapur
Odisha/Nayagarh  ,Odisha/Nayagarh
Odisha/Nuapada,Odisha/Nuapada
Odisha/Puri,Odisha/Puri
Odisha/Rayagada  ,Odisha/Rayagada
Odisha/Sambalpur,Odisha/Sambalpur
Odisha/Subarnapur,Odisha/Subarnapur
Odisha/Sundargarh,Odisha/Sundargarh
Puducherry/Karaikal,Puducherry/Karaikal
Puducherry/Mahe,Puducherry/Mahe
Puducherry/Puducherry,Puducherry/Puducherry
Puducherry/Yanam,Puducherry/Yanam
Punjab/Amritsar ,Punjab/Amritsar
Punjab/Barnala,Punjab/Barnala
Punjab/Bathinda,Punjab/Bathinda
Punjab/Faridkot,Punjab/Faridkot
Punjab/Fatehgarh Sahib,Punjab/Fatehgarh Sahib
Punjab/Firozpur,Punjab/Ferozepur
Punjab/Gurdaspur,Punjab/Gurdaspur
Punjab/Hoshiarpur,Punjab/Hoshiarpur
Punjab/Jalandhar,Punjab/Jalandhar
Punjab/Kapurthala ,Punjab/Kapurthala
Punjab/Ludhiana,Punjab/Ludhiana
Punjab/Mansa,Punjab/Mansa
Punjab/Moga,Punjab/Moga
Punjab/Muktsar,Punjab/Sri Muktsar Sahib
Punjab/Patiala,Punjab/Patiala
Punjab/Rupnagar,Punjab/Rupnagar
Punjab/Sahibzada Ajit Singh Nagar,Punjab/S.A.S. Nagar
Punjab/Sangrur,Punjab/Sangrur
Punjab/Shahid Bhagat Singh Nagar ,Punjab/Shahid Bhagat Singh Nagar
Punjab/Tarn Taran,Punjab/Tarn Taran
Rajasthan/Ajmer,Rajasthan/Ajmer
Rajasthan/Alwar,Rajasthan/Alwar
Rajasthan/Banswara,Rajasthan/Banswara
Rajasthan/Baran,Rajasthan/Baran
Rajasthan/Barmer,Rajasthan/Barmer
Rajasthan/Bharatpur,Rajasthan/Bharatpur
Rajasthan/Bhilwara,Rajasthan/Bhilwara
Rajasthan/Bikaner,Rajasthan/Bikaner
Rajasthan/Bundi,Rajasthan/Bundi
Rajasthan/Chittaurgarh,Rajasthan/Chittorgarh
Rajasthan/Churu,Rajasthan/Churu
Rajasthan/Dausa,Rajasthan/Dausa
Rajasthan/Dhaulpur,Rajasthan/Dholpur
Rajasthan/Dungarpur,Rajasthan/Dungarpur
Rajasthan/Ganganagar ,Rajasthan/Ganganagar
Rajasthan/Hanumangarh,Rajasthan/Hanumangarh
Rajasthan/Jaipur,Rajasthan/Jaipur
Rajasthan/Jaisalmer,Rajasthan/Jaisalmer
Rajasthan/Jalor,Rajasthan/Jalore
Rajasthan/Jhalawar,Rajasthan/Jhalawar
Rajasthan/Jhunjhunun,Rajasthan/Jhunjhunu
Rajasthan/Jodhpur,Rajasthan/Jodhpur
Rajasthan/Karauli,Rajasthan/Karauli
Rajasthan/Kota,Rajasthan/Kota
Rajasthan/Nagaur,Rajasthan/Nagaur
Rajasthan/Pali,Rajasthan/Pali
Rajasthan/Pratapgarh,Rajasthan/Pratapgarh
Rajasthan/Rajsamand,Rajasthan/Rajsamand
Rajasthan/Sawai Madhopur,Rajasthan/Sawai Madhopur
Rajasthan/Sikar,Rajasthan/Sikar
Rajasthan/Sirohi,Rajasthan/Sirohi
Rajasthan/Tonk,Rajasthan/Tonk
Rajasthan/Udaipur,Rajasthan/Udaipur
Sikkim/East District,Sikkim/East Sikkim
Sikkim/North  District,Sikkim/North Sikkim
Sikkim/South District,Sikkim/South Sikkim
Sikkim/West District,Sikkim/West Sikkim
Tamil Nadu/Ariyalur  ,Tamil Nadu/Ariyalur
Tamil Nadu/Chennai,Tamil Nadu/Chennai
Tamil Nadu/Coimbatore,Tamil Nadu/Coimbatore
Tamil Nadu/Cuddalore,Tamil Nadu/Cuddalore
Tamil Nadu/Dharmapuri,Tamil Nadu/Dharmapuri
Tamil Nadu/Dindigul,Tamil Nadu/Dindigul
Tamil Nadu/Erode,Tamil Nadu/Erode
Tamil Nadu/Kancheepuram,Tamil Nadu/Kancheepuram
Tamil Nadu/Kanniyakumari,Tamil Nadu/Kanyakumari
Tamil Nadu/Karur ,Tamil Nadu/Karur
Tamil Nadu/Krishnagiri,Tamil Nadu/Krishnagiri
Tamil Nadu/Madurai,Tamil Nadu/Madurai
Tamil Nadu/Nagapattinam  ,Tamil Nadu/Nagapattinam
Tamil Nadu/Namakkal   ,Tamil Nadu/Namakkal
Tamil Nadu/Perambalur  ,Tamil Nadu/Perambalur
Tamil Nadu/Pudukkottai,Tamil Nadu/Pudukkottai
Tamil Nadu/Ramanathapuram,Tamil Nadu/Ramanathapuram
Tamil Nadu/Salem,Tamil Nadu/Salem
Tamil Nadu/Sivaganga,Tamil Nadu/Sivaganga
