stateid,monthid,dose1,dose2
LD,6,21311,311
LD,7,6110,5623
LD,8,2864,5410
MH,1,5726,0
MH,2,705317,8901
MH,3,1490601,436159
MH,4,8457258,781868
MH,5,5097931,3001723
MH,6,5685478,1103585
MH,7,8610978,3509164
MH,8,6923446,4233264
ML,1,102,0
ML,2,17377,490
ML,3,42062,11756
ML,4,64537,31209
ML,5,205604,30606
ML,6,140269,769
ML,7,299718,41791
ML,8,203880,143625
MN,1,181,0
MN,2,26910,415
MN,3,44073,11495
MN,4,28717,36795
MN,5,207704,21022
MN,6,174951,1980
MN,7,418835,28466
MN,8,274664,173246
MP,1,9435,0
MP,2,558151,5
MP,3,628757,376341
MP,4,5196529,346414
MP,5,1080412,968530
MP,6,5341993,333917
MP,7,8223934,1963638
MP,8,11148216,2237903
MZ,1,105,0
MZ,2,11070,227
MZ,3,36260,10343
MZ,4,69596,20472
MZ,5,121785,19925
MZ,6,102557,1439
MZ,7,267083,72736
MZ,8,52870,95004
NL,1,94,0
NL,2,12742,1019
NL,3,28024,9729
NL,4,66316,19697
NL,5,75130,21339
NL,6,138154,827
NL,7,221304,59213
NL,8,99158,59180
OR,1,3420,0
OR,2,369747,7035
OR,3,519379,281565
OR,4,3312710,298090
OR,5,1052340,818701
OR,6,2373816,313649
OR,7,3515457,1277679
OR,8,4066985,1548189
PB,1,339,0
PB,2,99931,1988
PB,3,217996,67075
PB,4,1748531,125493
PB,5,1426656,512663
PB,6,975153,123976
PB,7,1996892,706172
PB,8,2195298,1091232
PY,1,92,0
PY,2,6105,305
PY,3,19259,3533
PY,4,119240,9034
PY,5,38908,37631
PY,6,115518,3496
PY,7,214698,71904
PY,8,104049,32850
RJ,1,3285,0
RJ,2,609330,13866
RJ,3,1937894,444397
RJ,4,6656084,857830
RJ,5,3057555,1669707
RJ,6,4418294,374461
RJ,7,5744433,1854609
RJ,8,6500578,3937050
SK,1,7,0
SK,2,8842,157
SK,3,32912,7703
SK,4,93729,11891
SK,5,31072,39843
SK,6,90923,256
SK,7,204158,74483
SK,8,39797,25360
TG,1,465,0
TG,2,249676,40856
TG,3,242037,171741
TG,4,1955448,141840
TG,5,2002387,709273
TG,6,2701943,296281
TG,7,3681412,955148
TG,8,1368438,1878138
TN,1,1170,0
TN,2,212653,2141
TN,3,994403,127346
TN,4,2758361,432762
TN,5,1206378,1352962
TN,6,4268653,287022
TN,7,6213507,1171620
TN,8,6473017,1604167
TR,1,107,0
TR,2,67064,1510
TR,3,81402,53002
TR,4,607835,51541
TR,5,229443,400714
TR,6,228015,15691
TR,7,923871,167505
TR,8,298693,140721
UP,1,2212,0
UP,2,953881,19814
UP,3,1373931,649519
UP,4,6648047,890658
UP,5,2746387,1700469
UP,6,8619179,650067
UP,7,13178890,2501619
UP,8,16834857,2949604
UT,1,511,0
UT,2,122651,3042
UT,3,155959,89747
UT,4,1012391,134928
UT,5,691018,452839
UT,6,742975,38593
UT,7,1288811,411755
UT,8,1566959,617321
WB,1,1918,0
WB,2,519619,6538
WB,3,1695003,382109
WB,4,5282550,721045
WB,5,1459646,2610221
WB,6,5168667,401734
WB,7,4251994,3108371
WB,8,6753745,2231695
